;Santiago;Valparaíso;Mejillones;San Vicente;Iquique;Puerto Montt;Lautaro;San Fernando;Punta Arenas;Antofagasta;Caldera;Coquimbo;Concepción;Arica;Puerto Chacabuco;Linares;Los Ángeles;Osorno;San Antonio;Calama;Castro;Chillán;Copiapó;Puerto Natales;Ovalle;Pichirropulli;Puerto Williams;Romeral;Talca;Valdivia
Calama;57716,0;52280,0;8924,0;58491,0;13610,0;89715,0;76469,0;58460,0;157637,0;7580,0;23218,0;37650,0;71055,0;20995,0;112279,0;64312,0;71605,0;86108,0;54490,0;0,0;95568,0;67721,0;25823,0;150771,0;40239,0;83844,0;178344,0;60411,0;62559,0;83279,0
Castro;46032,0;45684,0;91101,0;37963,0;103390,0;6060,0;19213,0;37210,0;81289,0;88622,0;72423,0;58029,0;28444,0;113106,0;28624,0;31440,0;23959,0;9658,0;42553,0;95544,0;0,0;27920,0;70083,0;74424,0;56038,0;13475,0;101996,0;35666,0;33122,0;13323,0
Chillán;18203,0;17855,0;63272,0;10134,0;75561,0;22096,0;8849,0;9381,0;90017,0;60793,0;44594,0;30200,0;3435,0;85278,0;44659,0;3611,0;3986,0;18488,0;14724,0;67715,0;27948,0;0,0;42255,0;83152,0;28210,0;16224,0;110724,0;7838,0;5294,0;15659,0
Copiapó;32268,0;26832,0;21377,0;33043,0;33666,0;64267,0;51020,0;33012,0;132188,0;18898,0;2699,0;12201,0;45606,0;43382,0;86831,0;38863,0;46157,0;60660,0;29042,0;25820,0;70119,0;42272,0;0,0;125323,0;14791,0;58395,0;152895,0;34963,0;37110,0;57830,0
Puerto Natales;101046,0;100698,0;146115,0;92977,0;158404,0;68395,0;74227,0;92224,0;8662,0;143636,0;127437,0;113043,0;83458,0;168121,0;40944,0;86454,0;78973,0;65768,0;97567,0;150558,0;74248,0;82935,0;125098,0;0,0;111053,0;69262,0;29369,0;90681,0;88137,0;69110,0
Ovalle;18187,0;12751,0;35787,0;18962,0;48075,0;50186,0;36940,0;18931,0;118108,0;33307,0;17108,0;2921,0;31526,0;57792,0;72750,0;24783,0;32076,0;46579,0;14961,0;40229,0;56039,0;28192,0;14769,0;111242,0;0,0;44314,0;138815,0;20882,0;23030,0;43750,0
Pichirropulli;34615,0;34266,0;79684,0;26546,0;91973,0;7909,0;7796,0;25793,0;76617,0;77205,0;61005,0;46612,0;17027,0;101689,0;30473,0;20023,0;12541,0;4302,0;31136,0;84127,0;13761,0;16503,0;58666,0;69751,0;44621,0;0,0;97324,0;24249,0;21705,0;2871,0
Puerto Williams;128814,0;128465,0;173883,0;120744,0;186171,0;96163,0;101995,0;119991,0;21181,0;171403,0;155204,0;140810,0;111226,0;195888,0;68711,0;114221,0;106740,0;93536,0;125334,0;178325,0;102015,0;110702,0;152865,0;29331,0;138820,0;97029,0;0,0;118448,0;115904,0;96877,0
Romeral;10848,0;10500,0;55918,0;2779,0;68206,0;29806,0;16559,0;2026,0;97727,0;53438,0;37239,0;22845,0;11145,0;77923,0;52369,0;4402,0;11696,0;26198,0;7369,0;60360,0;35658,0;7811,0;34900,0;90861,0;20855,0;23934,0;118434,0;0,0;2649,0;23369,0
Talca;13019,0;12671,0;58088,0;4950,0;70377,0;27307,0;14060,0;4197,0;95228,0;55609,0;39410,0;25016,0;8646,0;80094,0;49871,0;1903,0;9197,0;23700,0;9540,0;62531,0;33159,0;5312,0;37071,0;88363,0;23026,0;21435,0;115935,0;2654,0;0,0;20870,0
Valdivia;33767,0;33419,0;78836,0;25698,0;91125,0;7496,0;6948,0;24945,0;76204,0;76357,0;60158,0;45764,0;16179,0;100841,0;30060,0;19175,0;11694,0;3889,0;30288,0;83279,0;13349,0;15655,0;57818,0;69338,0;43773,0;3250,0;96911,0;23401,0;20857,0;0,0
