,,,
,,,
,,,
,Región,Faltan,Prioridad
,Antofagasta,445,1
,Arica,32,1
,Atacama,4,2
,Aysén del General Carlos Ibáñez del Campo,4,3
,Biobío,30,2
,Coquimbo,27,1
,La Araucanía,23,1
,Libertador General Bernardo O'Higgins,16,2
,Los Lagos,56,2
,Magallanes y de la Antártica Chilena,9,3
,Maule,6,3
,Metropolitana de Santiago,708,3
,Ñuble,6,3
,Tarapacá,7,2
,Valparaíso,14,1
